BOCU,Year,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,FRAUD AND FORGERY,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,SEXUAL OFFENCES,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,Merge_Key
Barking and Dagenham,2021,1424.0,1163.0,1463.0,0.0,315.0,161.0,1257.0,546.0,514.0,3085.0,2324.0,6406.0,BARKING AND DAGENHAM
Barking and Dagenham,2022,1431.0,1100.0,1417.0,0.0,322.0,158.0,1245.0,595.0,626.0,3502.0,2789.0,6581.0,BARKING AND DAGENHAM
Barking and Dagenham,2023,1333.0,1077.0,1343.0,1.0,274.0,210.0,1359.0,863.0,586.0,4356.0,2640.0,7013.0,BARKING AND DAGENHAM
Barnet,2021,1780.0,2339.0,1076.0,0.0,395.0,144.0,2062.0,605.0,726.0,4959.0,4893.0,7832.0,BARNET
Barnet,2022,1805.0,2519.0,993.0,0.0,374.0,157.0,1862.0,720.0,737.0,5620.0,4954.0,7684.0,BARNET
Barnet,2023,1856.0,2406.0,1090.0,0.0,360.0,150.0,2024.0,937.0,671.0,6216.0,4542.0,7965.0,BARNET
Bexley,2021,1403.0,732.0,918.0,0.0,292.0,95.0,1154.0,177.0,433.0,2272.0,1989.0,5293.0,BEXLEY
Bexley,2022,1375.0,759.0,756.0,0.0,269.0,137.0,1129.0,260.0,496.0,2710.0,2125.0,5644.0,BEXLEY
Bexley,2023,1536.0,898.0,727.0,0.0,241.0,108.0,1261.0,348.0,490.0,2990.0,2106.0,5852.0,BEXLEY
Brent,2021,2012.0,1780.0,1917.0,0.0,438.0,236.0,2130.0,719.0,656.0,4941.0,3529.0,8938.0,BRENT
Brent,2022,1913.0,1883.0,1733.0,0.0,411.0,232.0,2158.0,906.0,796.0,6031.0,3682.0,9549.0,BRENT
Brent,2023,2032.0,2116.0,1687.0,0.0,362.0,237.0,2232.0,1074.0,792.0,7488.0,3796.0,9678.0,BRENT
Bromley,2021,1799.0,1493.0,1134.0,0.0,368.0,164.0,1773.0,376.0,533.0,4651.0,3512.0,6474.0,BROMLEY
Bromley,2022,1841.0,1415.0,1232.0,0.0,341.0,175.0,1695.0,524.0,640.0,4765.0,3370.0,6645.0,BROMLEY
Bromley,2023,1960.0,1556.0,999.0,0.0,332.0,163.0,1683.0,586.0,666.0,5472.0,3134.0,6935.0,BROMLEY
Camden,2021,1646.0,1779.0,1409.0,0.0,280.0,138.0,2011.0,1065.0,702.0,9520.0,2769.0,6304.0,CAMDEN
Camden,2022,1564.0,2002.0,1549.0,0.0,263.0,189.0,2051.0,1233.0,809.0,14388.0,3329.0,6965.0,CAMDEN
Camden,2023,1821.0,2205.0,1309.0,0.0,270.0,175.0,2400.0,1613.0,828.0,18428.0,3175.0,7620.0,CAMDEN
