Code,Area,Tax_Year,Mean_Income,Median_Income,Number_of_Individuals,Year,Merge_Key
E09000001,City of London,2018-19,142000.0,55200.0,12000.0,2018,CITY OF LONDON
E09000001,City of London,2019-20,128000.0,54200.0,12000.0,2019,CITY OF LONDON
E09000001,City of London,2020-21,142000.0,56700.0,10000.0,2020,CITY OF LONDON
E09000001,City of London,2021-22,167000.0,62200.0,9000.0,2021,CITY OF LONDON
E09000001,City of London,2022-23,147000.0,60700.0,11000.0,2022,CITY OF LONDON
E09000001,City of London,2023-24,162000.0,70000.0,11000.0,2023,CITY OF LONDON
E09000002,Barking and Dagenham,2018-19,28800.0,25200.0,85000.0,2018,BARKING AND DAGENHAM
E09000002,Barking and Dagenham,2019-20,29400.0,25700.0,85000.0,2019,BARKING AND DAGENHAM
E09000002,Barking and Dagenham,2020-21,30800.0,26800.0,87000.0,2020,BARKING AND DAGENHAM
E09000002,Barking and Dagenham,2021-22,31800.0,28000.0,90000.0,2021,BARKING AND DAGENHAM
E09000002,Barking and Dagenham,2022-23,33300.0,28600.0,98000.0,2022,BARKING AND DAGENHAM
E09000002,Barking and Dagenham,2023-24,34600.0,29400.0,106000.0,2023,BARKING AND DAGENHAM
E09000003,Barnet,2018-19,51600.0,29900.0,188000.0,2018,BARNET
E09000003,Barnet,2019-20,51600.0,30700.0,192000.0,2019,BARNET
E09000003,Barnet,2020-21,54400.0,32200.0,189000.0,2020,BARNET
E09000003,Barnet,2021-22,59100.0,33500.0,190000.0,2021,BARNET
E09000003,Barnet,2022-23,59800.0,34400.0,198000.0,2022,BARNET
E09000003,Barnet,2023-24,61600.0,36100.0,216000.0,2023,BARNET
E09000004,Bexley,2018-19,34600.0,26900.0,130000.0,2018,BEXLEY
E09000004,Bexley,2019-20,36000.0,28000.0,126000.0,2019,BEXLEY
E09000004,Bexley,2020-21,36400.0,28800.0,126000.0,2020,BEXLEY
E09000004,Bexley,2021-22,38000.0,29300.0,135000.0,2021,BEXLEY
E09000004,Bexley,2022-23,40900.0,31800.0,134000.0,2022,BEXLEY
E09000004,Bexley,2023-24,42600.0,33200.0,142000.0,2023,BEXLEY
E09000005,Brent,2018-19,36300.0,25600.0,159000.0,2018,BRENT
E09000005,Brent,2019-20,37800.0,26200.0,155000.0,2019,BRENT
E09000005,Brent,2020-21,40400.0,27200.0,152000.0,2020,BRENT
E09000005,Brent,2021-22,44100.0,30000.0,149000.0,2021,BRENT
E09000005,Brent,2022-23,43600.0,29400.0,170000.0,2022,BRENT
E09000005,Brent,2023-24,44900.0,30100.0,182000.0,2023,BRENT
E09000006,Bromley,2018-19,46600.0,32800.0,177000.0,2018,BROMLEY
E09000006,Bromley,2019-20,48200.0,33700.0,176000.0,2019,BROMLEY
E09000006,Bromley,2020-21,49300.0,33800.0,177000.0,2020,BROMLEY
E09000006,Bromley,2021-22,54500.0,35800.0,176000.0,2021,BROMLEY
E09000006,Bromley,2022-23,56900.0,38100.0,183000.0,2022,BROMLEY
E09000006,Bromley,2023-24,57500.0,38800.0,195000.0,2023,BROMLEY
E09000007,Camden,2018-19,87400.0,35600.0,106000.0,2018,CAMDEN
E09000007,Camden,2019-20,96900.0,38200.0,104000.0,2019,CAMDEN
E09000007,Camden,2020-21,107000.0,38900.0,100000.0,2020,CAMDEN
E09000007,Camden,2021-22,119000.0,38900.0,108000.0,2021,CAMDEN
E09000007,Camden,2022-23,112000.0,40600.0,111000.0,2022,CAMDEN
E09000007,Camden,2023-24,126000.0,42800.0,119000.0,2023,CAMDEN
E09000008,Croydon,2018-19,36500.0,27800.0,187000.0,2018,CROYDON
E09000008,Croydon,2019-20,37800.0,29400.0,184000.0,2019,CROYDON
E09000008,Croydon,2020-21,38300.0,29100.0,189000.0,2020,CROYDON
E09000008,Croydon,2021-22,40900.0,30400.0,192000.0,2021,CROYDON
E09000008,Croydon,2022-23,41900.0,31800.0,203000.0,2022,CROYDON
E09000008,Croydon,2023-24,43500.0,33200.0,220000.0,2023,CROYDON
E09000009,Ealing,2018-19,39800.0,26400.0,173000.0,2018,EALING
E09000009,Ealing,2019-20,42700.0,28200.0,170000.0,2019,EALING
E09000009,Ealing,2020-21,44100.0,29500.0,172000.0,2020,EALING
E09000009,Ealing,2021-22,46800.0,30900.0,178000.0,2021,EALING
E09000009,Ealing,2022-23,48700.0,31500.0,190000.0,2022,EALING
E09000009,Ealing,2023-24,50400.0,32500.0,198000.0,2023,EALING
E09000010,Enfield,2018-19,37200.0,27300.0,143000.0,2018,ENFIELD
E09000010,Enfield,2019-20,39500.0,28300.0,145000.0,2019,ENFIELD
E09000010,Enfield,2020-21,40700.0,29500.0,137000.0,2020,ENFIELD
E09000010,Enfield,2021-22,42800.0,29900.0,142000.0,2021,ENFIELD
E09000010,Enfield,2022-23,42800.0,31300.0,149000.0,2022,ENFIELD
E09000010,Enfield,2023-24,44100.0,32200.0,159000.0,2023,ENFIELD
E09000011,Greenwich,2018-19,41300.0,27400.0,135000.0,2018,GREENWICH
E09000011,Greenwich,2019-20,44700.0,30100.0,127000.0,2019,GREENWICH
E09000011,Greenwich,2020-21,46400.0,30600.0,132000.0,2020,GREENWICH
E09000011,Greenwich,2021-22,48900.0,31800.0,136000.0,2021,GREENWICH
E09000011,Greenwich,2022-23,50700.0,33800.0,152000.0,2022,GREENWICH
E09000011,Greenwich,2023-24,52300.0,35900.0,163000.0,2023,GREENWICH
E09000012,Hackney,2018-19,44900.0,29600.0,116000.0,2018,HACKNEY
E09000012,Hackney,2019-20,47200.0,32400.0,111000.0,2019,HACKNEY
E09000012,Hackney,2020-21,49400.0,32800.0,109000.0,2020,HACKNEY
E09000012,Hackney,2021-22,52500.0,34300.0,123000.0,2021,HACKNEY
E09000012,Hackney,2022-23,54600.0,34300.0,128000.0,2022,HACKNEY
E09000012,Hackney,2023-24,59200.0,37600.0,126000.0,2023,HACKNEY
E09000013,Hammersmith and Fulham,2018-19,72600.0,34100.0,99000.0,2018,HAMMERSMITH AND FULHAM
E09000013,Hammersmith and Fulham,2019-20,75900.0,35800.0,95000.0,2019,HAMMERSMITH AND FULHAM
E09000013,Hammersmith and Fulham,2020-21,77800.0,36200.0,93000.0,2020,HAMMERSMITH AND FULHAM
E09000013,Hammersmith and Fulham,2021-22,83600.0,37000.0,98000.0,2021,HAMMERSMITH AND FULHAM
E09000013,Hammersmith and Fulham,2022-23,86700.0,38300.0,104000.0,2022,HAMMERSMITH AND FULHAM
E09000013,Hammersmith and Fulham,2023-24,91100.0,41600.0,107000.0,2023,HAMMERSMITH AND FULHAM
E09000014,Haringey,2018-19,46300.0,27400.0,130000.0,2018,HARINGEY
E09000014,Haringey,2019-20,48600.0,28300.0,129000.0,2019,HARINGEY
E09000014,Haringey,2020-21,50200.0,30000.0,122000.0,2020,HARINGEY
E09000014,Haringey,2021-22,57100.0,31300.0,128000.0,2021,HARINGEY
E09000014,Haringey,2022-23,54900.0,31800.0,134000.0,2022,HARINGEY
E09000014,Haringey,2023-24,57500.0,34500.0,140000.0,2023,HARINGEY
E09000015,Harrow,2018-19,39300.0,27600.0,131000.0,2018,HARROW
E09000015,Harrow,2019-20,41500.0,29500.0,130000.0,2019,HARROW
E09000015,Harrow,2020-21,42800.0,30200.0,123000.0,2020,HARROW
E09000015,Harrow,2021-22,46500.0,32300.0,125000.0,2021,HARROW
E09000015,Harrow,2022-23,47100.0,33200.0,134000.0,2022,HARROW
E09000015,Harrow,2023-24,47800.0,33700.0,147000.0,2023,HARROW
E09000016,Havering,2018-19,37100.0,29700.0,131000.0,2018,HAVERING
E09000016,Havering,2019-20,38100.0,29800.0,130000.0,2019,HAVERING
E09000016,Havering,2020-21,38000.0,29000.0,136000.0,2020,HAVERING
E09000016,Havering,2021-22,40000.0,29800.0,135000.0,2021,HAVERING
E09000016,Havering,2022-23,41900.0,32000.0,138000.0,2022,HAVERING
E09000016,Havering,2023-24,44500.0,34000.0,143000.0,2023,HAVERING
E09000017,Hillingdon,2018-19,36800.0,28100.0,141000.0,2018,HILLINGDON
E09000017,Hillingdon,2019-20,37300.0,28100.0,145000.0,2019,HILLINGDON
E09000017,Hillingdon,2020-21,38200.0,28400.0,142000.0,2020,HILLINGDON
E09000017,Hillingdon,2021-22,41600.0,30600.0,144000.0,2021,HILLINGDON
