Code,Name,Geography,Year,Population
E09000007,Camden,London Borough,2022,217365
E09000001,City of London,London Borough,2022,11457
E09000012,Hackney,London Borough,2022,261632
E09000013,Hammersmith and Fulham,London Borough,2022,185506
E09000014,Haringey,London Borough,2022,262413
E09000019,Islington,London Borough,2022,219594
E09000020,Kensington and Chelsea,London Borough,2022,146392
E09000022,Lambeth,London Borough,2022,316700
E09000023,Lewisham,London Borough,2022,299023
E09000025,Newham,London Borough,2022,357147
E09000028,Southwark,London Borough,2022,311492
E09000030,Tower Hamlets,London Borough,2022,323854
E09000032,Wandsworth,London Borough,2022,329358
E09000033,Westminster,London Borough,2022,209866
E09000002,Barking and Dagenham,London Borough,2022,220039
E09000003,Barnet,London Borough,2022,390346
E09000004,Bexley,London Borough,2022,247754
E09000005,Brent,London Borough,2022,341183
E09000006,Bromley,London Borough,2022,329689
E09000008,Croydon,London Borough,2022,392610
E09000009,Ealing,London Borough,2022,370129
E09000010,Enfield,London Borough,2022,327426
E09000011,Greenwich,London Borough,2022,291879
E09000015,Harrow,London Borough,2022,261933
E09000016,Havering,London Borough,2022,264675
E09000017,Hillingdon,London Borough,2022,310894
E09000018,Hounslow,London Borough,2022,291199
E09000021,Kingston upon Thames,London Borough,2022,169082
E09000024,Merton,London Borough,2022,215121
E09000026,Redbridge,London Borough,2022,311515
E09000027,Richmond upon Thames,London Borough,2022,195165
E09000029,Sutton,London Borough,2022,210293
E09000031,Waltham Forest,London Borough,2022,276312
E09000007,Camden,London Borough,2021,210968
E09000001,City of London,London Borough,2021,8689
E09000012,Hackney,London Borough,2021,260082
E09000013,Hammersmith and Fulham,London Borough,2021,183310
E09000014,Haringey,London Borough,2021,264317
E09000019,Islington,London Borough,2021,217050
E09000020,Kensington and Chelsea,London Borough,2021,144266
E09000022,Lambeth,London Borough,2021,317691
E09000023,Lewisham,London Borough,2021,300013
E09000025,Newham,London Borough,2021,351256
E09000028,Southwark,London Borough,2021,306762
E09000030,Tower Hamlets,London Borough,2021,312715
E09000032,Wandsworth,London Borough,2021,328429
E09000033,Westminster,London Borough,2021,205759
E09000002,Barking and Dagenham,London Borough,2021,218714
E09000003,Barnet,London Borough,2021,388955
E09000004,Bexley,London Borough,2021,246637
E09000005,Brent,London Borough,2021,339248
E09000006,Bromley,London Borough,2021,329899
